id;PERD_ARRT_INFO;DATE_TRT;CODE_ORGN_FINN;CODE_PRDT_ICARE;CODE_MARC_ICARE;LIBL_SOUR;CODE_INDC;FREQUENCE;NUMR_SEMN;VALR_INDC;C_NIV_1;L_NIV_1;C_NIV_2;L_NIV_2;C_NIV_3;L_NIV_3;C_NIV_4;L_NIV_4;C_NIV_41;L_NIV_41;LIBL_MARC_ICARE;CODE_GROUPE_SOURCE;LIBL_TYPE_SOURCE;CODE_TYPE_SOURCE;LIBL_SOURCE;CODE_SOURCE;LIBL_SOUR_TECH;LIBL_INDC;CODE_INDC_METIER;LIBL_NIV3_APC;CODE_NIV3_APC;LIBL_NIV2_APC;CODE_NIV2_APC;LIBL_NIV1_APC
0;202310;;11111;;;;MT_FAITS_1;;;20;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
1;202310;;11111;;;;MT_FAITS_1;;;20;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
2;202310;;11111;;;;MT_FAITS_1;;;20;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
3;202310;;11111;;;;MT_FAITS_1;;;20;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
4;202310;;11111;;;;MT_FAITS_1;;;20;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
5;202310;;22222;;;;MT_FAITS_1;;;40;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
6;202310;;22222;;;;MT_FAITS_1;;;40;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
7;202310;;22222;;;;MT_FAITS_1;;;40;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
8;202310;;22222;;;;MT_FAITS_1;;;40;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
9;202310;;22222;;;;MT_FAITS_1;;;40;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
10;202310;;33333;;;;MT_FAITS_1;;;80;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
11;202310;;33333;;;;MT_FAITS_1;;;80;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
12;202310;;33333;;;;MT_FAITS_1;;;80;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
13;202310;;33333;;;;MT_FAITS_1;;;80;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
14;202310;;33333;;;;MT_FAITS_1;;;80;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
15;202310;;11111;;;;MT_FAITS_2;;;200;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
16;202310;;11111;;;;MT_FAITS_2;;;200;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
17;202310;;11111;;;;MT_FAITS_2;;;200;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
18;202310;;11111;;;;MT_FAITS_2;;;200;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
19;202310;;11111;;;;MT_FAITS_2;;;200;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
20;202310;;22222;;;;MT_FAITS_2;;;400;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
21;202310;;22222;;;;MT_FAITS_2;;;400;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
22;202310;;22222;;;;MT_FAITS_2;;;400;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
23;202310;;22222;;;;MT_FAITS_2;;;400;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
24;202310;;22222;;;;MT_FAITS_2;;;400;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
25;202310;;33333;;;;MT_FAITS_2;;;8000;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
26;202310;;33333;;;;MT_FAITS_2;;;8000;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
27;202310;;33333;;;;MT_FAITS_2;;;8000;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
28;202310;;33333;;;;MT_FAITS_2;;;8000;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
29;202310;;33333;;;;MT_FAITS_2;;;8000;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
